Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL
Black Swan,"Drama, Thriller",79,8.0,"$106,952,327",R,Fox Searchlight,17 Dec 2010,https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg
The Fighter,"Biography, Drama, Sport",79,7.8,"$93,571,803",R,Paramount Pictures,17 Dec 2010,https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg
Inception,"Action, Adventure, Sci-Fi, Thriller",74,8.8,"$292,568,851",PG-13,Warner Bros. Pictures,16 Jul 2010,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg
The Kids Are All Right,"Comedy, Drama, Romance",86,7.0,"$20,803,237",R,Focus Features,30 Jul 2010,https://m.media-amazon.com/images/M/MV5BMjE4NTMwNDg5MF5BMl5BanBnXkFtZTcwNDY2ODE0Mw@@._V1_SX300.jpg
The King's Speech,"Biography, Drama, History",88,8.0,"$138,300,000",R,The Weinstein Company,25 Dec 2010,https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg
127 Hours,"Adventure, Biography, Drama, Thriller",82,7.6,"$18,329,466",R,Fox Searchlight,28 Jan 2011,https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg
The Social Network,"Biography, Drama",95,7.7,"$96,400,000",PG-13,Columbia Pictures,01 Oct 2010,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Toy Story 3,"Animation, Adventure, Comedy, Family, Fantasy",92,8.3,"$414,984,497",G,Walt Disney Pictures,18 Jun 2010,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg
True Grit,"Adventure, Drama, Western",80,7.6,"$171,031,347",PG-13,Paramount Pictures,22 Dec 2010,https://m.media-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_SX300.jpg
Winter's Bone,"Drama, Mystery",90,7.2,"$6,200,000",R,Roadside Attractions,16 Jul 2010,https://m.media-amazon.com/images/M/MV5BMjA0OTM3MDMxNF5BMl5BanBnXkFtZTcwMDY1MjI0Mw@@._V1_SX300.jpg
Avatar,"Action, Adventure, Fantasy, Sci-Fi",83,7.8,"$749,700,000",PG-13,20th Century Fox,18 Dec 2009,https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg
The Blind Side,"Biography, Drama, Sport",53,7.7,"$255,900,000",PG-13,Warner Bros. Pictures,20 Nov 2009,https://m.media-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg
District 9,"Action, Sci-Fi, Thriller",81,7.9,"$115,646,235",R,Sony Pictures/Screen Gems,14 Aug 2009,https://m.media-amazon.com/images/M/MV5BYmQ5MzFjYWMtMTMwNC00ZGU5LWI3YTQtYzhkMGExNGFlY2Q0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
An Education,Drama,85,7.3,"$12,512,069",PG-13,Sony Classics,05 Feb 2010,https://m.media-amazon.com/images/M/MV5BMTg4NjgzOTc0MF5BMl5BanBnXkFtZTcwOTc2OTE3Mg@@._V1_SX300.jpg
The Hurt Locker,"Drama, Thriller, War",94,7.6,"$15,700,000",R,Summit Entertainment,31 Jul 2009,https://m.media-amazon.com/images/M/MV5BYWYxZjU2MmQtMmMzYi00ZWUwLTg2ZWQtMDExZTVlYjM3ZWM1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Inglourious Basterds,"Adventure, Drama, War",69,8.3,"$120,523,073",R,The Weinstein Company,21 Aug 2009,https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
A Serious Man,"Comedy, Drama",79,7.1,"$9,190,525",R,Focus Features,06 Nov 2009,https://m.media-amazon.com/images/M/MV5BNGZkODlhMjktNzhhMC00YjFiLWJmODMtNjQwOGMzZjMxNTZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
