Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL,Year,Category,Nominee,Won?
Black Swan,"Drama, Thriller",79.0,8.0,"$106,952,327",R,Fox Searchlight,17 Dec 2010,https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,2010 (83rd),Best Picture,Black Swan,NO
The Fighter,"Biography, Drama, Sport",79.0,7.8,"$93,571,803",R,Paramount Pictures,17 Dec 2010,https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg,2010 (83rd),Best Picture,The Fighter,NO
Inception,"Action, Adventure, Sci-Fi, Thriller",74.0,8.8,"$292,568,851",PG-13,Warner Bros. Pictures,16 Jul 2010,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,2010 (83rd),Best Picture,Inception,NO
The Kids Are All Right,"Comedy, Drama, Romance",86.0,7.0,"$20,803,237",R,Focus Features,30 Jul 2010,https://m.media-amazon.com/images/M/MV5BMjE4NTMwNDg5MF5BMl5BanBnXkFtZTcwNDY2ODE0Mw@@._V1_SX300.jpg,2010 (83rd),Best Picture,The Kids Are All Right,NO
The King's Speech,"Biography, Drama, History",88.0,8.0,"$138,300,000",R,The Weinstein Company,25 Dec 2010,https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg,2010 (83rd),Best Picture,The King's Speech,YES
127 Hours,"Adventure, Biography, Drama, Thriller",82.0,7.6,"$18,329,466",R,Fox Searchlight,28 Jan 2011,https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg,2010 (83rd),Best Picture,127 Hours,NO
The Social Network,"Biography, Drama",95.0,7.7,"$96,400,000",PG-13,Columbia Pictures,01 Oct 2010,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2010 (83rd),Best Picture,The Social Network,NO
Toy Story 3,"Animation, Adventure, Comedy, Family, Fantasy",92.0,8.3,"$414,984,497",G,Walt Disney Pictures,18 Jun 2010,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,2010 (83rd),Best Picture,Toy Story 3,NO
True Grit,"Adventure, Drama, Western",80.0,7.6,"$171,031,347",PG-13,Paramount Pictures,22 Dec 2010,https://m.media-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_SX300.jpg,2010 (83rd),Best Picture,True Grit,NO
Winter's Bone,"Drama, Mystery",90.0,7.2,"$6,200,000",R,Roadside Attractions,16 Jul 2010,https://m.media-amazon.com/images/M/MV5BMjA0OTM3MDMxNF5BMl5BanBnXkFtZTcwMDY1MjI0Mw@@._V1_SX300.jpg,2010 (83rd),Best Picture,Winter's Bone,NO
