11472,Freedom Writers
11497,Code Name: The Cleaner
11498,Stomp the Yard
11519,Primeval
11521,The Hitcher
11537,Bridge to Terabithia
11547,Waitress
11556,Blood and Chocolate
11557,Epic Movie
11558,The Messengers
11559,Because I Said So
11560,Hannibal Rising
11561,Norbit
11567,Ratatouille
11592,Ghost Rider
11593,Breach
11594,Daddy's Little Girls
11595,Music and Lyrics
11596,The Number 23
11597,Reno 911!: Miami
11617,Hot Fuzz
11634,Next
11637,God Grew Tired of Us
11646,Zodiac
11650,White Noise 2: The Light
11652,Wild Hogs
11668,The Last Mimzy
11676,Becoming Jane
11683,I Think I Love My Wife
11688,Premonition
11689,Dead Silence
11690,Reign Over Me
11691,Pride
11692,Shooter
11693,The Hills Have Eyes II
11694,TMNT
11720,The Lookout
11721,Blades of Glory
11724,Are We Done Yet?
11725,The Reaping
11726,Firehouse Dog
11727,Meet the Robinsons
11732,Sunshine
11745,Perfect Stranger
11746,Disturbia
11747,Pathfinder
11748,Aqua Teen Hunger Force Colon Movie Film for Theaters
11754,Redline
11763,Fracture
11768,Vacancy
11771,In the Land of Women
11774,Mr. Bean's Holiday
11777,The Invisible
11778,Kickin' It Old Skool
11779,The Condemned
11780,Spider-Man 3
11781,Lucky You
11793,Year of the Dog
11811,Knocked Up
11812,Hairspray
11815,28 Weeks Later
11816,Georgia Rule
11817,Delta Farce
11825,Shrek the Third
11826,Once
11827,Pirates of the Caribbean: At World's End
11829,Mr. Brooks
11830,Rise: Blood Hunter
11831,Gracie
11836,Zoo
11839,Eagle vs Shark
11840,88 Minutes
11845,Ocean's Thirteen
11858,Hostel: Part II
11860,Paranoid Park
11863,Surf's Up
11864,4: Rise of the Silver Surfer
11865,Nancy Drew
11869,Death Proof
11886,In Search of a Midnight Kiss
11905,Goal! II: Living the Dream
11909,The Trials Of Darryl Hunt
11911,Sicko
11917,1408
11918,Death at a Funeral
11919,Clubland
11921,Live Free or Die Hard
11922,License to Wed
11923,Evening
11924,Evan Almighty
11925,Transformers
11926,Captivity
11927,Harry Potter and the Order of the Phoenix
11928,I Now Pronounce You Chuck & Larry
11942,Across the Universe
11944,Brand Upon the Brain! A Remembrance in 12 Chapters
11951,A Dog's Breakfast
11954,Hot Rod
11955,Stardust
11957,Who's Your Caddy?
11959,The Simpsons Movie
11960,I Know Who Killed Me
11961,No Reservations
11962,Underdog
11963,Charlie Bartlett
11965,The Bourne Ultimatum
11966,Bratz
11970,You Kill Me
11985,Superbad
11986,Arctic Tale
11987,Joshua
11988,Talk to Me
11997,Resurrecting the Champ
11998,American Pastime
12001,Rush Hour 3
12003,The Last Legion
12007,Balls of Fury
